+--------------+------------------------+
| feature name |    information gain    |
+--------------+------------------------+
|      c0      |   0.3259315181359729   |
|    c2648     |  0.06267485544713214   |
|    c2650     |  0.06178819560933668   |
|    c2654     |   0.061274001377569    |
|    c2686     |  0.060697804778033326  |
|    c2684     |  0.06054827827385045   |
|    c2724     |  0.059002014279939896  |
|    c2662     |  0.05887040717671921   |
|    c2688     |  0.058762689633494514  |
|    c2682     |  0.05874360688105629   |
|    c2626     |  0.05871739450313784   |
|    c2656     |  0.058644643820797926  |
|    c2644     |  0.058244961912689686  |
|    c2624     |  0.05772113413153024   |
|    c2630     |   0.0571841701740734   |
|    c2622     |  0.05706237956193361   |
|    c2652     |  0.056158435983007404  |
|    c2666     |  0.05591685921391809   |
|    c2690     |  0.05577085215276223   |
|    c2668     |  0.05536785463011462   |
|    c2716     |  0.05532785294543796   |
|    c2692     |  0.05491267757237672   |
|    c2696     |  0.05447827147723694   |
|    c2628     |  0.05428350184133568   |
|    c2634     |  0.05413595695369344   |
|    c2694     |  0.054072017934783334  |
|    c2618     |  0.05401381876345823   |
|    c2610     |  0.05385643102917759   |
|    c2612     |  0.05384284837938247   |
|    c2680     |  0.05356089657776675   |
|    c2714     |  0.05350608626913744   |
|    c2632     |  0.05349445807465214   |
|    c2642     |  0.05329365108630579   |
|    c2620     |  0.053121307801463624  |
|    c2636     |  0.05302404505789271   |
|    c2712     |  0.05247026257766141   |
|    c2734     |  0.051989947071406695  |
|    c2698     |  0.051653190211750966  |
|    c2640     |  0.05152989097308436   |
|    c2660     |  0.051285224556226305  |
|    c2738     |  0.05114252414246523   |
|    c2638     |  0.051026578391659916  |
|    c2704     |  0.050981442448437386  |
|    c2614     |  0.050739500403852444  |
|    c2840     |  0.050691163913956006  |
|    c2730     |  0.050619201586064255  |
|    c2672     |   0.0505470319418857   |
|    c2674     |  0.050532348195782006  |
|    c2664     |  0.05035376583053619   |
|    c2742     |  0.05033904042062498   |
|    c2600     |  0.05008937768013233   |
|    c2702     |  0.05002199276977182   |
|    c2676     |  0.04991489142118466   |
|    c2670     |  0.04985017214173526   |
|    c2726     |   0.0496674767081553   |
|    c2706     |   0.0484614758691051   |
|    c2736     |  0.048335414112579356  |
|    c2700     |  0.04816479020978259   |
|    c2616     |  0.04812354540337238   |
|    c2722     |  0.04810008368338803   |
|    c2758     |  0.04791024529953836   |
|    c2608     |  0.04777654698564304   |
|    c2728     |  0.04768816507871754   |
|    c2746     |  0.04704420708151891   |
|    c2602     |   0.0470139362122135   |
|    c2756     |  0.04692887949531288   |
|    c2678     |  0.04684715670177941   |
|    c2748     |  0.04681587259562159   |
|    c2646     |  0.045863401449345975  |
|    c2720     |  0.045551895022108546  |
|    c2710     |  0.045537926107779736  |
|    c2762     |  0.045393750659352694  |
|    c2708     |  0.04499582312629502   |
|    c2718     |  0.04449257026902842   |
|    c2754     |  0.044238445802322834  |
|    c2752     |   0.0439366938586232   |
|    c2750     |  0.04389717320492226   |
|    c2572     |  0.04340883121623973   |
|    c4224     |  0.043035792011254737  |
|    c2740     |  0.04299872904200952   |
|    c2766     |  0.04295676860859521   |
|    c3320     |  0.04236761024051838   |
|    c2788     |  0.042147099726429715  |
|    c2658     |  0.042034849292047705  |
|    c2744     |   0.0419536978946049   |
|    c2598     |  0.04186616602276061   |
|    c4220     |  0.041381299596962684  |
|    c2594     |  0.04112614061876263   |
|    c2732     |  0.04105876985659118   |
|    c4236     |  0.04098704893335503   |
|    c2842     |  0.040968721893566595  |
|    c4206     |  0.04095138811108234   |
|    c2768     |  0.04094261222352458   |
|    c5302     |  0.04041329045236308   |
|    c2802     |  0.04040225831395561   |
|    c3346     |  0.04030365413978498   |
|    c2860     |  0.040122026529882504  |
|    c2838     |   0.0400216784462617   |
|    c2856     |  0.040006009390225694  |
|    c2534     |  0.039515607935273644  |
|    c2760     |  0.039470996985523144  |
|    c3352     |  0.03940820364807052   |
|    c2596     |  0.03912374634199445   |
|    c2810     |  0.038764030327948173  |
|    c7188     |   0.0385621068166524   |
|    c3340     |  0.03797573242013863   |
|    c2852     |  0.037887131862273105  |
|    c3334     |  0.037689607864420216  |
|    c2580     |  0.037485847830394325  |
|    c2920     |  0.03742622215783009   |
|    c2294     |  0.03740399612594025   |
|    c3338     |  0.037297816435146736  |
|    c2282     |  0.037283536627101155  |
|    c2764     |  0.037143554406458446  |
|    c2532     |  0.03713458004455705   |
|    c2588     |  0.03710076423158726   |
|    c2966     |  0.03708055953264844   |
|    c2978     |  0.037038102807457784  |
|    c3354     |  0.03702928496819946   |
|    c5294     |  0.036963442706908545  |
|    c2814     |  0.03694908075462355   |
|    c3322     |   0.0369404065647545   |
|    c2784     |  0.03686647436463475   |
|    c4232     |   0.0368126923815022   |
